name,n,objective_model,objective_baseline,penalty,mip_status,runtime_sec,mip_gap,x_bits,z_bits,sum_z,seed,layers,data_root
precond_pen=0.200,32,-15.393481239680973,212.02046690857824,0.2,2,1.9635748863220215,0.0,00000000011011100111111110110010,---------++-+++--++++++++-++--+-,0,46,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.300,32,-16.101443402115,212.02046690857824,0.3,2,0.8237779140472412,0.0,00000000011011100111111110110010,---------++-+++--++++++++-++--+-,0,46,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,32,-8.528686392951997,211.24765988437215,0.4,2,1.6013751029968262,0.0,11111111100100010001010001001001,+++++++++--+---+---+-+---+--+--+,0,46,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
baseline,32,225.62881216143103,225.62881216143123,,2,94.86566400527954,0.0,01101111001010100000111100001011,-++-++++--+-+-+-----++++----+-++,0,47,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,32,-15.14601593852801,225.62881216143123,0.2,2,2.052626848220825,0.0,10010000110101011111000011110100,+--+----++-+-+-+++++----++++-+--,0,47,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.300,32,-16.938528038271002,225.62881216143123,0.3,2,0.5817868709564209,0.0,10010000110101011111000011110100,+--+----++-+-+-+++++----++++-+--,0,47,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,32,-9.362273962201998,225.62881216143123,0.4,2,1.2397339344024658,0.0,01101111001010100000111100001011,-++-++++--+-+-+-----++++----+-++,0,47,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
baseline,32,219.56798265469797,219.56798265469826,,2,111.99900698661804,0.0,11100010110110000011101010101001,+++---+-++-++-----+++-+-+-+-+--+,0,48,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,32,-15.268039913330984,219.56798265469826,0.2,2,1.839367151260376,0.0,11100010110110000011101010101001,+++---+-++-++-----+++-+-+-+-+--+,0,48,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.300,32,-16.684574829770987,219.56798265469826,0.3,2,0.6450550556182861,0.0,00011101001001111100010101010110,---+++-+--+--+++++---+-+-+-+-++-,0,48,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,32,-9.270757024948006,219.56798265469826,0.4,2,1.1494929790496826,0.0,11100010110110000011101010101001,+++---+-++-++-----+++-+-+-+-+--+,0,48,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
baseline,32,225.22348271682296,225.2234827168229,,2,249.9879949092865,0.0,00100010111010001100111111010001,--+---+-+++-+---++--++++++-+---+,0,49,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,32,-13.836901726423964,226.50031700554712,0.2,2,5.6342151165008545,0.0,00110010011000001101111101010101,--++--+--++-----++-+++++-+-+-+-+,0,49,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.300,32,-15.523809725608002,226.52062953662107,0.3,2,0.9286708831787109,0.0,11001101110110110010000010101010,++--++-+++-++-++--+-----+-+-+-+-,0,49,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,32,-8.702344539028,225.2234827168229,0.4,2,2.1109209060668945,0.0,00100010111010001100111111010001,--+---+-+++-+---++--++++++-+---+,0,49,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
