name,n,objective_model,objective_baseline,penalty,mip_status,runtime_sec,time_to_best_sec,mip_gap,x_bits,z_bits,sum_z,presolve,all_feasible,orig_traj,gurobi_log,seed,layers,data_root
precond_pen=0.000,24,-1.4143963297530604,114.27743181760884,0.0,2,2.028599977493286,1.2856309413909912,0.0,011010010011110010000111,-++-+--+--++++--+----+++,0,True,"[[7.700920104980469e-05, 147.29621742052706], [0.015613079071044922, 139.69962736389698], [0.017174959182739258, 139.84554519426297], [0.01892709732055664, 117.410607660249], [1.162179946899414, 116.85172677837109], [1.2856309413909912, 114.27743181760884]]","[[7.700920104980469e-05, 147.29621742052706], [0.015613079071044922, 139.69962736389698], [0.01892709732055664, 117.410607660249], [1.162179946899414, 116.85172677837109], [1.2856309413909912, 114.27743181760884]]","
Gurobi 11.0.2 (linux64) logging started Wed Mar  4 12:34:44 2026

",11,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,24,-11.961320270922005,114.27743181760884,0.2,2,0.5125041007995605,0.4971621036529541,0.0,100101101100001101111000,+--+-++-++----++-++++---,0,True,"[[5.793571472167969e-05, 147.29621742052706], [0.013503074645996094, 132.42439998034885], [0.016688108444213867, 132.14592472001706], [0.01851201057434082, 128.67327343054703], [0.020010948181152344, 117.410607660249], [0.4971621036529541, 114.27743181760884]]","[[5.793571472167969e-05, 147.29621742052706], [0.013503074645996094, 132.42439998034885], [0.016688108444213867, 132.14592472001706], [0.01851201057434082, 128.67327343054703], [0.020010948181152344, 117.410607660249], [0.4971621036529541, 114.27743181760884]]","
Gurobi 11.0.2 (linux64) logging started Wed Mar  4 12:34:46 2026

",11,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.300,24,-12.381823113256997,114.27743181760884,0.3,2,0.47760009765625,0.4756290912628174,0.0,011010010011110010000111,-++-+--+--++++--+----+++,0,True,"[[6.198883056640625e-05, 147.29621742052706], [0.015757083892822266, 133.40441298325706], [0.017132043838500977, 125.51653489432906], [0.01783299446105957, 116.48293267671697], [0.4756290912628174, 114.27743181760884]]","[[6.198883056640625e-05, 147.29621742052706], [0.015757083892822266, 133.40441298325706], [0.017132043838500977, 125.51653489432906], [0.01783299446105957, 116.48293267671697], [0.4756290912628174, 114.27743181760884]]","
Gurobi 11.0.2 (linux64) logging started Wed Mar  4 12:34:46 2026

",11,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,24,-7.017337708817999,114.27743181760884,0.4,2,0.4171760082244873,0.11280488967895508,0.0,011010010011110010000111,-++-+--+--++++--+----+++,0,True,"[[5.5789947509765625e-05, 147.29621742052706], [0.015980005264282227, 140.25451533101298], [0.01717400550842285, 139.69962736389698], [0.018373966217041016, 120.18658714178908], [0.01959085464477539, 116.18025998390713], [0.11280488967895508, 114.27743181760884]]","[[5.5789947509765625e-05, 147.29621742052706], [0.015980005264282227, 140.25451533101298], [0.01717400550842285, 139.69962736389698], [0.018373966217041016, 120.18658714178908], [0.01959085464477539, 116.18025998390713], [0.11280488967895508, 114.27743181760884]]","
Gurobi 11.0.2 (linux64) logging started Wed Mar  4 12:34:47 2026

